Project:,SAEON,Sub Project:,St Francis Bay Long Term Research
Time Series:,SFB80W_70m_008,Series Code:,SFBLTMRP_SFB80W_UTR_70m_1/7_008,Raw Data File:,80m_West_1.csv
Location:,St Francis Bay 80m West,Site:,St Francis Bay 80m West,GPS Name:,UTR - StF-80m-W,Mooring Type:,UTR Array,Mooring No:,
Latitude:,-34.170740,Longitude:,25.111620,LatShore:,-  .,LongShore:,  .,Distance (m):,
Interval (hr):,1,Total:,2201,Variables:,1
Deploy Depth (m):,70,Bottom Depth (m):,80,Bin No:,1,Total Bins:,7
Start Date:,2016-07-18,Start Time:,12:00:00
End Date:,2016-10-22,End Time:,08:00:00
Instrument:,Onset Hobo Pro v2 Water Temperature Logger,Serial No:,
Comment:,
Date (yyyy-mm-dd),Time (hh:mm:ss),Temperature (Â°C)
2016-07-18,12:00:00,11.102
2016-07-18,13:00:00,11.127
2016-07-18,14:00:00,11.151
2016-07-18,15:00:00,11.151
2016-07-18,16:00:00,11.151
2016-07-18,17:00:00,11.175
2016-07-18,18:00:00,11.200
2016-07-18,19:00:00,11.200
2016-07-18,20:00:00,11.200
2016-07-18,21:00:00,11.200
2016-07-18,22:00:00,11.175
2016-07-18,23:00:00,11.151
2016-07-19,00:00:00,11.151
2016-07-19,01:00:00,11.127
2016-07-19,02:00:00,11.127
2016-07-19,03:00:00,11.127
2016-07-19,04:00:00,11.127
2016-07-19,05:00:00,11.127
2016-07-19,06:00:00,11.127
2016-07-19,07:00:00,11.127
2016-07-19,08:00:00,11.127
2016-07-19,09:00:00,11.127
2016-07-19,10:00:00,11.127
2016-07-19,11:00:00,11.127
2016-07-19,12:00:00,11.127
2016-07-19,13:00:00,11.127
2016-07-19,14:00:00,11.151
2016-07-19,15:00:00,11.200
2016-07-19,16:00:00,11.224
2016-07-19,17:00:00,11.248
2016-07-19,18:00:00,11.248
2016-07-19,19:00:00,11.248
2016-07-19,20:00:00,11.248
2016-07-19,21:00:00,11.273
2016-07-19,22:00:00,11.297
2016-07-19,23:00:00,11.297
2016-07-20,00:00:00,11.346
2016-07-20,01:00:00,11.394
2016-07-20,02:00:00,11.492
2016-07-20,03:00:00,11.565
2016-07-20,04:00:00,11.492
2016-07-20,05:00:00,11.443
2016-07-20,06:00:00,11.467
2016-07-20,07:00:00,11.443
2016-07-20,08:00:00,11.346
2016-07-20,09:00:00,11.321
2016-07-20,10:00:00,11.297
2016-07-20,11:00:00,11.273
2016-07-20,12:00:00,11.273
2016-07-20,13:00:00,11.273
2016-07-20,14:00:00,11.273
2016-07-20,15:00:00,11.273
2016-07-20,16:00:00,11.273
2016-07-20,17:00:00,11.248
2016-07-20,18:00:00,11.224
2016-07-20,19:00:00,11.224
2016-07-20,20:00:00,11.224
2016-07-20,21:00:00,11.224
2016-07-20,22:00:00,11.224
2016-07-20,23:00:00,11.224
2016-07-21,00:00:00,11.224
2016-07-21,01:00:00,11.248
2016-07-21,02:00:00,11.248
2016-07-21,03:00:00,11.248
2016-07-21,04:00:00,11.273
2016-07-21,05:00:00,11.297
2016-07-21,06:00:00,11.297
2016-07-21,07:00:00,11.370
2016-07-21,08:00:00,11.565
2016-07-21,09:00:00,11.832
2016-07-21,10:00:00,12.243
2016-07-21,11:00:00,12.219
2016-07-21,12:00:00,12.292
2016-07-21,13:00:00,12.316
2016-07-21,14:00:00,12.389
2016-07-21,15:00:00,12.340
2016-07-21,16:00:00,12.364
2016-07-21,17:00:00,12.340
2016-07-21,18:00:00,12.316
2016-07-21,19:00:00,12.219
2016-07-21,20:00:00,11.977
2016-07-21,21:00:00,12.219
2016-07-21,22:00:00,12.122
2016-07-21,23:00:00,11.759
2016-07-22,00:00:00,11.662
2016-07-22,01:00:00,11.613
2016-07-22,02:00:00,11.516
2016-07-22,03:00:00,11.516
2016-07-22,04:00:00,11.540
2016-07-22,05:00:00,11.565
2016-07-22,06:00:00,11.613
2016-07-22,07:00:00,11.662
2016-07-22,08:00:00,11.686
2016-07-22,09:00:00,11.783
2016-07-22,10:00:00,11.832
2016-07-22,11:00:00,11.856
2016-07-22,12:00:00,11.880
2016-07-22,13:00:00,11.880
2016-07-22,14:00:00,11.880
2016-07-22,15:00:00,11.856
2016-07-22,16:00:00,11.832
2016-07-22,17:00:00,11.977
2016-07-22,18:00:00,12.122
2016-07-22,19:00:00,11.977
2016-07-22,20:00:00,12.437
2016-07-22,21:00:00,11.977
2016-07-22,22:00:00,12.219
2016-07-22,23:00:00,12.485
2016-07-23,00:00:00,12.364
2016-07-23,01:00:00,12.340
2016-07-23,02:00:00,12.413
2016-07-23,03:00:00,12.364
2016-07-23,04:00:00,12.219
2016-07-23,05:00:00,11.977
2016-07-23,06:00:00,11.929
2016-07-23,07:00:00,11.880
2016-07-23,08:00:00,12.074
2016-07-23,09:00:00,12.364
2016-07-23,10:00:00,12.437
2016-07-23,11:00:00,12.703
2016-07-23,12:00:00,13.016
2016-07-23,13:00:00,13.522
2016-07-23,14:00:00,13.546
2016-07-23,15:00:00,13.690
2016-07-23,16:00:00,13.906
2016-07-23,17:00:00,13.858
2016-07-23,18:00:00,13.425
2016-07-23,19:00:00,13.377
2016-07-23,20:00:00,13.642
2016-07-23,21:00:00,14.026
2016-07-23,22:00:00,13.810
2016-07-23,23:00:00,13.353
2016-07-24,00:00:00,12.968
2016-07-24,01:00:00,13.329
2016-07-24,02:00:00,13.305
2016-07-24,03:00:00,13.618
2016-07-24,04:00:00,13.738
2016-07-24,05:00:00,13.377
2016-07-24,06:00:00,13.185
2016-07-24,07:00:00,12.944
2016-07-24,08:00:00,12.823
2016-07-24,09:00:00,12.751
2016-07-24,10:00:00,12.654
2016-07-24,11:00:00,12.630
2016-07-24,12:00:00,12.654
2016-07-24,13:00:00,12.775
2016-07-24,14:00:00,13.040
2016-07-24,15:00:00,13.570
2016-07-24,16:00:00,13.762
2016-07-24,17:00:00,13.882
2016-07-24,18:00:00,13.882
2016-07-24,19:00:00,13.834
2016-07-24,20:00:00,13.882
2016-07-24,21:00:00,12.968
2016-07-24,22:00:00,12.823
2016-07-24,23:00:00,12.823
2016-07-25,00:00:00,12.751
2016-07-25,01:00:00,12.678
2016-07-25,02:00:00,12.654
2016-07-25,03:00:00,12.630
2016-07-25,04:00:00,12.703
2016-07-25,05:00:00,12.871
2016-07-25,06:00:00,12.871
2016-07-25,07:00:00,12.799
2016-07-25,08:00:00,12.727
2016-07-25,09:00:00,12.751
2016-07-25,10:00:00,12.606
2016-07-25,11:00:00,12.485
2016-07-25,12:00:00,12.364
2016-07-25,13:00:00,12.413
2016-07-25,14:00:00,12.243
2016-07-25,15:00:00,12.025
2016-07-25,16:00:00,11.904
2016-07-25,17:00:00,11.856
2016-07-25,18:00:00,11.783
2016-07-25,19:00:00,11.662
2016-07-25,20:00:00,11.662
2016-07-25,21:00:00,11.686
2016-07-25,22:00:00,11.759
2016-07-25,23:00:00,11.734
2016-07-26,00:00:00,11.734
2016-07-26,01:00:00,11.637
2016-07-26,02:00:00,11.565
2016-07-26,03:00:00,11.516
2016-07-26,04:00:00,11.492
2016-07-26,05:00:00,11.492
2016-07-26,06:00:00,11.467
2016-07-26,07:00:00,11.467
2016-07-26,08:00:00,11.467
2016-07-26,09:00:00,11.443
2016-07-26,10:00:00,11.394
2016-07-26,11:00:00,11.394
2016-07-26,12:00:00,11.370
2016-07-26,13:00:00,11.370
2016-07-26,14:00:00,11.346
2016-07-26,15:00:00,11.321
2016-07-26,16:00:00,11.297
2016-07-26,17:00:00,11.321
2016-07-26,18:00:00,11.321
2016-07-26,19:00:00,11.346
2016-07-26,20:00:00,11.346
2016-07-26,21:00:00,11.346
2016-07-26,22:00:00,11.346
2016-07-26,23:00:00,11.370
2016-07-27,00:00:00,11.370
2016-07-27,01:00:00,11.370
2016-07-27,02:00:00,11.370
2016-07-27,03:00:00,11.394
2016-07-27,04:00:00,11.394
2016-07-27,05:00:00,11.394
2016-07-27,06:00:00,11.419
2016-07-27,07:00:00,11.443
2016-07-27,08:00:00,11.467
2016-07-27,09:00:00,11.516
2016-07-27,10:00:00,11.565
2016-07-27,11:00:00,11.589
2016-07-27,12:00:00,11.637
2016-07-27,13:00:00,11.686
2016-07-27,14:00:00,11.710
2016-07-27,15:00:00,11.734
2016-07-27,16:00:00,11.759
2016-07-27,17:00:00,11.783
2016-07-27,18:00:00,11.783
2016-07-27,19:00:00,11.783
2016-07-27,20:00:00,11.783
2016-07-27,21:00:00,11.783
2016-07-27,22:00:00,11.759
2016-07-27,23:00:00,11.710
2016-07-28,00:00:00,11.710
2016-07-28,01:00:00,11.686
2016-07-28,02:00:00,11.662
2016-07-28,03:00:00,11.662
2016-07-28,04:00:00,11.637
2016-07-28,05:00:00,11.637
2016-07-28,06:00:00,11.613
2016-07-28,07:00:00,11.613
2016-07-28,08:00:00,11.589
2016-07-28,09:00:00,11.589
2016-07-28,10:00:00,11.589
2016-07-28,11:00:00,11.589
2016-07-28,12:00:00,11.589
2016-07-28,13:00:00,11.613
2016-07-28,14:00:00,11.613
2016-07-28,15:00:00,11.637
2016-07-28,16:00:00,11.637
2016-07-28,17:00:00,11.613
2016-07-28,18:00:00,11.613
2016-07-28,19:00:00,11.589
2016-07-28,20:00:00,11.589
2016-07-28,21:00:00,11.589
2016-07-28,22:00:00,11.589
2016-07-28,23:00:00,11.589
2016-07-29,00:00:00,11.589
2016-07-29,01:00:00,11.589
2016-07-29,02:00:00,11.589
2016-07-29,03:00:00,11.589
2016-07-29,04:00:00,11.589
2016-07-29,05:00:00,11.589
2016-07-29,06:00:00,11.589
2016-07-29,07:00:00,11.589
2016-07-29,08:00:00,11.589
2016-07-29,09:00:00,11.589
2016-07-29,10:00:00,11.613
2016-07-29,11:00:00,11.637
2016-07-29,12:00:00,11.686
2016-07-29,13:00:00,11.637
2016-07-29,14:00:00,11.613
2016-07-29,15:00:00,11.637
2016-07-29,16:00:00,11.783
2016-07-29,17:00:00,12.364
2016-07-29,18:00:00,12.630
2016-07-29,19:00:00,12.727
2016-07-29,20:00:00,12.727
2016-07-29,21:00:00,12.606
2016-07-29,22:00:00,12.509
2016-07-29,23:00:00,12.437
2016-07-30,00:00:00,12.243
2016-07-30,01:00:00,12.316
2016-07-30,02:00:00,12.268
2016-07-30,03:00:00,12.413
2016-07-30,04:00:00,12.582
2016-07-30,05:00:00,12.751
2016-07-30,06:00:00,12.678
2016-07-30,07:00:00,12.751
2016-07-30,08:00:00,12.727
2016-07-30,09:00:00,12.703
2016-07-30,10:00:00,12.703
2016-07-30,11:00:00,13.016
2016-07-30,12:00:00,13.185
2016-07-30,13:00:00,13.233
2016-07-30,14:00:00,12.992
2016-07-30,15:00:00,12.968
2016-07-30,16:00:00,12.437
2016-07-30,17:00:00,12.268
2016-07-30,18:00:00,12.268
2016-07-30,19:00:00,12.122
2016-07-30,20:00:00,12.074
2016-07-30,21:00:00,12.050
2016-07-30,22:00:00,12.074
2016-07-30,23:00:00,12.147
2016-07-31,00:00:00,12.268
2016-07-31,01:00:00,12.364
2016-07-31,02:00:00,12.558
2016-07-31,03:00:00,12.775
2016-07-31,04:00:00,12.799
2016-07-31,05:00:00,12.775
2016-07-31,06:00:00,12.703
2016-07-31,07:00:00,12.509
2016-07-31,08:00:00,12.316
2016-07-31,09:00:00,12.001
2016-07-31,10:00:00,11.929
2016-07-31,11:00:00,11.880
2016-07-31,12:00:00,11.856
2016-07-31,13:00:00,11.856
2016-07-31,14:00:00,11.856
2016-07-31,15:00:00,11.832
2016-07-31,16:00:00,11.832
2016-07-31,17:00:00,11.832
2016-07-31,18:00:00,11.832
2016-07-31,19:00:00,11.832
2016-07-31,20:00:00,11.832
2016-07-31,21:00:00,11.856
2016-07-31,22:00:00,11.856
2016-07-31,23:00:00,11.880
2016-08-01,00:00:00,11.904
2016-08-01,01:00:00,11.929
2016-08-01,02:00:00,11.929
2016-08-01,03:00:00,11.929
2016-08-01,04:00:00,11.904
2016-08-01,05:00:00,11.904
2016-08-01,06:00:00,11.880
2016-08-01,07:00:00,11.856
2016-08-01,08:00:00,11.832
2016-08-01,09:00:00,11.807
2016-08-01,10:00:00,11.832
2016-08-01,11:00:00,11.880
2016-08-01,12:00:00,11.880
2016-08-01,13:00:00,11.856
2016-08-01,14:00:00,11.759
2016-08-01,15:00:00,11.686
2016-08-01,16:00:00,11.613
2016-08-01,17:00:00,11.589
2016-08-01,18:00:00,11.565
2016-08-01,19:00:00,11.589
2016-08-01,20:00:00,11.589
2016-08-01,21:00:00,11.565
2016-08-01,22:00:00,11.540
2016-08-01,23:00:00,11.540
2016-08-02,00:00:00,11.516
2016-08-02,01:00:00,11.516
2016-08-02,02:00:00,11.540
2016-08-02,03:00:00,11.565
2016-08-02,04:00:00,11.589
2016-08-02,05:00:00,11.637
2016-08-02,06:00:00,11.807
2016-08-02,07:00:00,12.001
2016-08-02,08:00:00,12.122
2016-08-02,09:00:00,12.316
2016-08-02,10:00:00,12.461
2016-08-02,11:00:00,12.703
2016-08-02,12:00:00,12.678
2016-08-02,13:00:00,12.703
2016-08-02,14:00:00,12.775
2016-08-02,15:00:00,12.799
2016-08-02,16:00:00,12.823
2016-08-02,17:00:00,12.847
2016-08-02,18:00:00,12.896
2016-08-02,19:00:00,13.137
2016-08-02,20:00:00,13.137
2016-08-02,21:00:00,13.064
2016-08-02,22:00:00,12.992
2016-08-02,23:00:00,12.823
2016-08-03,00:00:00,12.678
2016-08-03,01:00:00,12.509
2016-08-03,02:00:00,12.292
2016-08-03,03:00:00,12.171
2016-08-03,04:00:00,12.147
2016-08-03,05:00:00,12.098
2016-08-03,06:00:00,12.122
2016-08-03,07:00:00,12.195
2016-08-03,08:00:00,12.243
2016-08-03,09:00:00,12.389
2016-08-03,10:00:00,12.703
2016-08-03,11:00:00,13.257
2016-08-03,12:00:00,13.690
2016-08-03,13:00:00,14.218
2016-08-03,14:00:00,14.625
2016-08-03,15:00:00,14.816
2016-08-03,16:00:00,15.055
2016-08-03,17:00:00,15.318
2016-08-03,18:00:00,15.533
2016-08-03,19:00:00,15.461
2016-08-03,20:00:00,15.318
2016-08-03,21:00:00,15.103
2016-08-03,22:00:00,14.960
2016-08-03,23:00:00,14.888
2016-08-04,00:00:00,14.816
2016-08-04,01:00:00,14.864
2016-08-04,02:00:00,14.984
2016-08-04,03:00:00,15.079
2016-08-04,04:00:00,15.366
2016-08-04,05:00:00,15.629
2016-08-04,06:00:00,15.748
2016-08-04,07:00:00,15.819
2016-08-04,08:00:00,15.772
2016-08-04,09:00:00,15.772
2016-08-04,10:00:00,15.819
2016-08-04,11:00:00,15.676
2016-08-04,12:00:00,15.652
2016-08-04,13:00:00,15.509
2016-08-04,14:00:00,15.366
2016-08-04,15:00:00,15.414
2016-08-04,16:00:00,15.438
2016-08-04,17:00:00,15.485
2016-08-04,18:00:00,15.676
2016-08-04,19:00:00,15.676
2016-08-04,20:00:00,15.557
2016-08-04,21:00:00,15.390
2016-08-04,22:00:00,15.605
2016-08-04,23:00:00,15.676
2016-08-05,00:00:00,15.700
2016-08-05,01:00:00,15.724
2016-08-05,02:00:00,15.772
2016-08-05,03:00:00,15.772
2016-08-05,04:00:00,15.796
2016-08-05,05:00:00,15.772
2016-08-05,06:00:00,15.796
2016-08-05,07:00:00,15.772
2016-08-05,08:00:00,15.772
2016-08-05,09:00:00,15.772
2016-08-05,10:00:00,15.748
2016-08-05,11:00:00,15.772
2016-08-05,12:00:00,15.772
2016-08-05,13:00:00,15.748
2016-08-05,14:00:00,15.748
2016-08-05,15:00:00,15.748
2016-08-05,16:00:00,15.724
2016-08-05,17:00:00,15.724
2016-08-05,18:00:00,15.700
2016-08-05,19:00:00,15.676
2016-08-05,20:00:00,15.652
2016-08-05,21:00:00,15.652
2016-08-05,22:00:00,15.629
2016-08-05,23:00:00,15.605
2016-08-06,00:00:00,15.676
2016-08-06,01:00:00,15.557
2016-08-06,02:00:00,15.581
2016-08-06,03:00:00,15.581
2016-08-06,04:00:00,15.581
2016-08-06,05:00:00,15.581
2016-08-06,06:00:00,15.581
2016-08-06,07:00:00,15.605
2016-08-06,08:00:00,15.581
2016-08-06,09:00:00,15.629
2016-08-06,10:00:00,15.605
2016-08-06,11:00:00,15.485
2016-08-06,12:00:00,15.533
2016-08-06,13:00:00,15.485
2016-08-06,14:00:00,15.509
2016-08-06,15:00:00,15.294
2016-08-06,16:00:00,15.366
2016-08-06,17:00:00,15.438
2016-08-06,18:00:00,15.270
2016-08-06,19:00:00,15.390
2016-08-06,20:00:00,15.223
2016-08-06,21:00:00,15.533
2016-08-06,22:00:00,15.414
2016-08-06,23:00:00,15.390
2016-08-07,00:00:00,14.481
2016-08-07,01:00:00,15.342
2016-08-07,02:00:00,15.151
2016-08-07,03:00:00,15.223
2016-08-07,04:00:00,15.199
2016-08-07,05:00:00,14.960
2016-08-07,06:00:00,15.247
2016-08-07,07:00:00,15.294
2016-08-07,08:00:00,15.342
2016-08-07,09:00:00,15.270
2016-08-07,10:00:00,15.318
2016-08-07,11:00:00,15.414
2016-08-07,12:00:00,15.461
2016-08-07,13:00:00,15.294
2016-08-07,14:00:00,15.342
2016-08-07,15:00:00,15.390
2016-08-07,16:00:00,15.366
2016-08-07,17:00:00,15.390
2016-08-07,18:00:00,15.366
2016-08-07,19:00:00,15.318
2016-08-07,20:00:00,15.127
2016-08-07,21:00:00,14.553
2016-08-07,22:00:00,13.762
2016-08-07,23:00:00,14.625
2016-08-08,00:00:00,14.481
2016-08-08,01:00:00,13.642
2016-08-08,02:00:00,14.337
2016-08-08,03:00:00,14.146
2016-08-08,04:00:00,13.522
2016-08-08,05:00:00,13.329
2016-08-08,06:00:00,13.329
2016-08-08,07:00:00,13.425
2016-08-08,08:00:00,13.425
2016-08-08,09:00:00,13.377
2016-08-08,10:00:00,14.002
2016-08-08,11:00:00,14.385
2016-08-08,12:00:00,14.050
2016-08-08,13:00:00,12.871
2016-08-08,14:00:00,12.992
2016-08-08,15:00:00,12.968
2016-08-08,16:00:00,13.329
2016-08-08,17:00:00,13.233
2016-08-08,18:00:00,13.040
2016-08-08,19:00:00,12.871
2016-08-08,20:00:00,12.654
2016-08-08,21:00:00,12.775
2016-08-08,22:00:00,12.654
2016-08-08,23:00:00,12.703
2016-08-09,00:00:00,12.871
2016-08-09,01:00:00,12.751
2016-08-09,02:00:00,12.678
2016-08-09,03:00:00,13.377
2016-08-09,04:00:00,13.666
2016-08-09,05:00:00,14.553
2016-08-09,06:00:00,14.912
2016-08-09,07:00:00,14.481
2016-08-09,08:00:00,14.816
2016-08-09,09:00:00,13.377
2016-08-09,10:00:00,13.185
2016-08-09,11:00:00,13.281
2016-08-09,12:00:00,13.834
2016-08-09,13:00:00,14.481
2016-08-09,14:00:00,14.146
2016-08-09,15:00:00,13.930
2016-08-09,16:00:00,13.642
2016-08-09,17:00:00,12.703
2016-08-09,18:00:00,12.509
2016-08-09,19:00:00,12.582
2016-08-09,20:00:00,12.727
2016-08-09,21:00:00,13.618
2016-08-09,22:00:00,14.218
2016-08-09,23:00:00,14.409
2016-08-10,00:00:00,14.697
2016-08-10,01:00:00,14.361
2016-08-10,02:00:00,13.930
2016-08-10,03:00:00,14.026
2016-08-10,04:00:00,13.185
2016-08-10,05:00:00,13.305
2016-08-10,06:00:00,12.413
2016-08-10,07:00:00,12.316
2016-08-10,08:00:00,12.654
2016-08-10,09:00:00,12.509
2016-08-10,10:00:00,12.534
2016-08-10,11:00:00,12.437
2016-08-10,12:00:00,12.630
2016-08-10,13:00:00,12.654
2016-08-10,14:00:00,12.606
2016-08-10,15:00:00,13.161
2016-08-10,16:00:00,13.209
2016-08-10,17:00:00,13.377
2016-08-10,18:00:00,12.292
2016-08-10,19:00:00,12.292
2016-08-10,20:00:00,13.040
2016-08-10,21:00:00,13.810
2016-08-10,22:00:00,13.401
2016-08-10,23:00:00,13.618
2016-08-11,00:00:00,15.199
2016-08-11,01:00:00,14.721
2016-08-11,02:00:00,14.457
2016-08-11,03:00:00,13.522
2016-08-11,04:00:00,15.438
2016-08-11,05:00:00,14.864
2016-08-11,06:00:00,15.724
2016-08-11,07:00:00,15.581
2016-08-11,08:00:00,15.748
2016-08-11,09:00:00,13.906
2016-08-11,10:00:00,15.055
2016-08-11,11:00:00,13.930
2016-08-11,12:00:00,13.858
2016-08-11,13:00:00,15.414
2016-08-11,14:00:00,15.676
2016-08-11,15:00:00,15.581
2016-08-11,16:00:00,15.533
2016-08-11,17:00:00,15.676
2016-08-11,18:00:00,15.581
2016-08-11,19:00:00,15.509
2016-08-11,20:00:00,15.438
2016-08-11,21:00:00,15.819
2016-08-11,22:00:00,15.461
2016-08-11,23:00:00,15.557
2016-08-12,00:00:00,15.509
2016-08-12,01:00:00,15.438
2016-08-12,02:00:00,15.461
2016-08-12,03:00:00,15.438
2016-08-12,04:00:00,15.414
2016-08-12,05:00:00,14.385
2016-08-12,06:00:00,13.690
2016-08-12,07:00:00,13.401
2016-08-12,08:00:00,12.606
2016-08-12,09:00:00,12.558
2016-08-12,10:00:00,12.364
2016-08-12,11:00:00,11.929
2016-08-12,12:00:00,11.783
2016-08-12,13:00:00,12.074
2016-08-12,14:00:00,11.832
2016-08-12,15:00:00,11.929
2016-08-12,16:00:00,11.565
2016-08-12,17:00:00,11.589
2016-08-12,18:00:00,11.589
2016-08-12,19:00:00,11.540
2016-08-12,20:00:00,11.540
2016-08-12,21:00:00,11.589
2016-08-12,22:00:00,11.540
2016-08-12,23:00:00,11.540
2016-08-13,00:00:00,11.540
2016-08-13,01:00:00,11.662
2016-08-13,02:00:00,11.734
2016-08-13,03:00:00,12.025
2016-08-13,04:00:00,11.929
2016-08-13,05:00:00,12.171
2016-08-13,06:00:00,12.195
2016-08-13,07:00:00,13.714
2016-08-13,08:00:00,14.050
2016-08-13,09:00:00,13.906
2016-08-13,10:00:00,11.783
2016-08-13,11:00:00,12.025
2016-08-13,12:00:00,12.147
2016-08-13,13:00:00,12.025
2016-08-13,14:00:00,12.413
2016-08-13,15:00:00,12.678
2016-08-13,16:00:00,13.642
2016-08-13,17:00:00,13.161
2016-08-13,18:00:00,13.738
2016-08-13,19:00:00,14.242
2016-08-13,20:00:00,14.290
2016-08-13,21:00:00,12.847
2016-08-13,22:00:00,13.618
2016-08-13,23:00:00,12.485
2016-08-14,00:00:00,12.316
2016-08-14,01:00:00,12.268
2016-08-14,02:00:00,12.896
2016-08-14,03:00:00,13.233
2016-08-14,04:00:00,12.413
2016-08-14,05:00:00,13.112
2016-08-14,06:00:00,13.473
2016-08-14,07:00:00,13.858
2016-08-14,08:00:00,12.992
2016-08-14,09:00:00,12.437
2016-08-14,10:00:00,12.195
2016-08-14,11:00:00,12.678
2016-08-14,12:00:00,12.509
2016-08-14,13:00:00,13.666
2016-08-14,14:00:00,11.977
2016-08-14,15:00:00,12.050
2016-08-14,16:00:00,11.904
2016-08-14,17:00:00,11.904
2016-08-14,18:00:00,11.710
2016-08-14,19:00:00,11.613
2016-08-14,20:00:00,11.589
2016-08-14,21:00:00,11.613
2016-08-14,22:00:00,11.710
2016-08-14,23:00:00,11.880
2016-08-15,00:00:00,12.122
2016-08-15,01:00:00,12.437
2016-08-15,02:00:00,12.799
2016-08-15,03:00:00,12.992
2016-08-15,04:00:00,13.738
2016-08-15,05:00:00,14.146
2016-08-15,06:00:00,14.170
2016-08-15,07:00:00,14.026
2016-08-15,08:00:00,14.146
2016-08-15,09:00:00,14.433
2016-08-15,10:00:00,14.433
2016-08-15,11:00:00,14.433
2016-08-15,12:00:00,14.146
2016-08-15,13:00:00,13.762
2016-08-15,14:00:00,13.810
2016-08-15,15:00:00,13.714
2016-08-15,16:00:00,13.858
2016-08-15,17:00:00,13.858
2016-08-15,18:00:00,13.642
2016-08-15,19:00:00,13.666
2016-08-15,20:00:00,13.858
2016-08-15,21:00:00,14.146
2016-08-15,22:00:00,14.266
2016-08-15,23:00:00,13.666
2016-08-16,00:00:00,14.361
2016-08-16,01:00:00,14.098
2016-08-16,02:00:00,12.920
2016-08-16,03:00:00,12.727
2016-08-16,04:00:00,12.364
2016-08-16,05:00:00,12.389
2016-08-16,06:00:00,12.630
2016-08-16,07:00:00,12.219
2016-08-16,08:00:00,12.606
2016-08-16,09:00:00,12.243
2016-08-16,10:00:00,12.050
2016-08-16,11:00:00,11.929
2016-08-16,12:00:00,11.929
2016-08-16,13:00:00,11.856
2016-08-16,14:00:00,12.098
2016-08-16,15:00:00,12.316
2016-08-16,16:00:00,12.437
2016-08-16,17:00:00,12.727
2016-08-16,18:00:00,13.570
2016-08-16,19:00:00,12.847
2016-08-16,20:00:00,13.161
2016-08-16,21:00:00,12.171
2016-08-16,22:00:00,12.122
2016-08-16,23:00:00,12.074
2016-08-17,00:00:00,12.050
2016-08-17,01:00:00,12.001
2016-08-17,02:00:00,11.904
2016-08-17,03:00:00,11.807
2016-08-17,04:00:00,11.832
2016-08-17,05:00:00,11.686
2016-08-17,06:00:00,11.759
2016-08-17,07:00:00,11.759
2016-08-17,08:00:00,11.734
2016-08-17,09:00:00,11.807
2016-08-17,10:00:00,11.832
2016-08-17,11:00:00,11.807
2016-08-17,12:00:00,11.807
2016-08-17,13:00:00,11.783
2016-08-17,14:00:00,11.783
2016-08-17,15:00:00,11.734
2016-08-17,16:00:00,11.710
2016-08-17,17:00:00,11.686
2016-08-17,18:00:00,11.637
2016-08-17,19:00:00,11.565
2016-08-17,20:00:00,11.346
2016-08-17,21:00:00,11.248
2016-08-17,22:00:00,11.102
2016-08-17,23:00:00,10.980
2016-08-18,00:00:00,10.883
2016-08-18,01:00:00,10.858
2016-08-18,02:00:00,10.858
2016-08-18,03:00:00,10.858
2016-08-18,04:00:00,10.858
2016-08-18,05:00:00,10.834
2016-08-18,06:00:00,10.810
2016-08-18,07:00:00,10.761
2016-08-18,08:00:00,10.785
2016-08-18,09:00:00,10.785
2016-08-18,10:00:00,10.834
2016-08-18,11:00:00,10.858
2016-08-18,12:00:00,10.907
